county,IndexYear,Location,Population,Total,Rate,VTotal,VRate,Murder,Rape,Robbery,Assault,PTotal,PRate,Arson,Burglary,Theft,MVTheft,,,,
STEVENS,1994,Kettle Falls Police Department,"1,435",91,63.4,10,7,0,3,1,6,81,56.4,0,19,54,8,,,,
STEVENS,1995,Kettle Falls Police Department,"1,465",161,109.9,10,6.8,1,7,0,2,151,103.1,0,37,105,9,,,,
STEVENS,1996,Kettle Falls Police Department,"1,495",109,72.9,11,7.4,0,0,2,9,98,65.6,0,18,75,5,,,,
STEVENS,1997,Kettle Falls Police Department,"1,550",95,61.3,5,3.2,0,2,0,3,90,58.1,0,13,72,5,,,,
STEVENS,1998,Kettle Falls Police Department,"1,505",96,63.8,11,7.3,0,3,1,7,85,56.5,1,22,59,3,,,,
STEVENS,1999,Kettle Falls Police Department,"1,535",66,43,3,2,0,0,0,3,63,41,0,21,40,2,,,,
STEVENS,2000,Kettle Falls Police Department,"1,540",113,73.4,1,0.6,0,0,0,1,112,72.7,0,30,82,0,,,,
STEVENS,2001,Kettle Falls Police Department,"1,550",56,36.1,0,0,0,0,0,0,56,36.1,0,20,36,0,,,,
STEVENS,2002,Kettle Falls Police Department,"1,520",56,36.8,0,0,0,0,0,0,56,36.8,0,20,36,0,,,,
STEVENS,2003,Kettle Falls Police Department,"1,535",42,27.4,1,0.7,0,0,0,1,41,26.7,0,15,25,1,,,,
STEVENS,2004,Kettle Falls Police Department,"1,535",68,44.3,1,0.7,0,0,0,1,67,43.6,0,15,48,4,,,,
STEVENS,2005,Kettle Falls Police Department,"1,565",80,51.1,1,0.6,0,0,0,1,79,50.5,0,15,61,3,,,,
STEVENS,2006,Kettle Falls Police Department,"1,600",61,38.1,2,1.3,0,0,2,0,59,36.9,0,10,47,2,,,,
STEVENS,2007,Kettle Falls Police Department,"1,610",70,43.5,1,0.6,0,0,1,0,69,42.9,0,16,51,2,,,,
STEVENS,2008,Kettle Falls Police Department,"1,640",82,50,0,0,0,0,0,0,82,50,0,22,57,3,,,,
STEVENS,2009,Kettle Falls Police Department,"1,655",65,39.3,3,1.8,0,0,0,3,62,37.5,0,10,51,1,,,,
