COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,PRSNTOTAL,PRSNRATE,MURDER,MANSLAUGHTER,FORCIBLE_SEX,ASSAULT,NON_FORCIBLE_SEX,KIDNAPPING_ABDUCTION,HUMAN_TRAFFICKING,VIOL_OF_NO_CONTACT,PRPRTYTOTAL,PRPRTYRATE,ARSON,BRIBERY,BURGLARY,COUNTERFEITING_FORGERY,DESTRUCTION_OF_PROPERTY,EXTORTION_BLACKMAIL,ROBBERY,THEFT,SCTYTOTAL,SCTYRATE,DRUG_VIOLATIONS,GAMBLING_VIOLATIONS,PORNOGRAPHY,PROSTITUTION,WEAPON_LAW_VIOLATION,ANIMAL_CRUELTY
CLARK,2020,WSU Vancouver Police Department,0,4,0.00,0,0.00,0,0,0,0,0,0,0,0,4,0.00,0,0,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
CLARK,2012,Washougal Police Department,"14,340",684,47.70,223,15.55,0,0,12,187,1,0,0,23,415,28.94,6,0,61,14,79,0,2,253,46,3.21,41,0,0,0,5,0
CLARK,2013,Washougal Police Department,"14,580",630,43.21,196,13.44,0,0,10,171,1,0,0,14,419,28.74,1,0,55,3,86,0,5,269,15,1.03,11,0,1,0,3,0
CLARK,2014,Washougal Police Department,"14,910",693,46.48,158,10.60,0,0,7,140,0,0,0,11,486,32.60,1,0,64,4,89,0,4,324,49,3.29,38,0,3,0,8,0
CLARK,2015,Washougal Police Department,"15,170",738,48.65,167,11.01,0,0,6,135,1,2,0,23,519,34.21,2,0,54,8,87,0,5,363,52,3.43,46,0,0,0,6,0
CLARK,2016,Washougal Police Department,"15,560",606,38.95,203,13.05,0,0,7,166,0,4,0,26,346,22.24,1,0,38,1,75,0,1,230,57,3.66,46,0,0,0,11,0
CLARK,2017,Washougal Police Department,"15,789",627,39.71,192,12.16,0,0,17,139,0,0,0,36,355,22.48,1,0,27,3,111,0,1,212,80,5.07,65,0,0,1,12,2
CLARK,2018,Washougal Police Department,"16,026",713,44.49,226,14.10,0,0,19,152,0,3,0,52,411,25.65,2,0,35,9,69,0,0,296,76,4.74,68,0,0,0,8,0
CLARK,2019,Washougal Police Department,"16,500",609,36.91,144,8.73,1,2,17,96,1,1,0,26,377,22.85,1,0,36,5,68,0,4,263,88,5.33,76,0,0,0,11,1
CLARK,2020,Washougal Police Department,"16,680",866,51.92,257,15.41,1,0,23,181,0,5,0,47,513,30.76,0,1,37,9,107,0,3,356,96,5.76,87,0,0,1,6,2
COLUMBIA,2012,COUNTY TOTAL,"4,100",262,63.90,39,9.50,1,0,4,33,0,1,0,0,221,53.90,0,0,47,0,54,0,0,120,2,0.50,1,0,0,0,1,0
COLUMBIA,2013,COUNTY TOTAL,"4,100",295,72.00,46,11.20,0,0,2,39,0,0,0,5,249,60.70,1,0,51,0,31,0,0,166,0,0.00,0,0,0,0,0,0
COLUMBIA,2014,COUNTY TOTAL,"4,080",127,31.10,0,0.00,0,0,0,0,0,0,0,0,127,31.10,0,0,38,0,0,0,0,89,0,0.00,0,0,0,0,0,0
COLUMBIA,2015,COUNTY TOTAL,"4,090",83,20.30,2,0.50,0,0,0,2,0,0,0,0,80,19.60,1,0,28,0,0,0,0,51,1,0.20,1,0,0,0,0,0
COLUMBIA,2016,COUNTY TOTAL,"4,050",211,52.10,25,6.20,0,0,5,16,0,0,0,4,183,45.20,1,0,20,0,46,0,0,116,3,0.70,3,0,0,0,0,0
COLUMBIA,2017,COUNTY TOTAL,"4,100",179,43.70,80,19.50,0,0,3,69,0,0,0,8,96,23.40,1,0,21,1,21,0,1,51,3,0.70,0,0,0,0,3,0
COLUMBIA,2018,COUNTY TOTAL,"4,150",142,34.20,51,12.30,0,0,1,43,0,0,0,7,87,21.00,0,0,25,1,17,0,0,44,4,1.00,2,0,0,0,2,0
COLUMBIA,2019,COUNTY TOTAL,"4,160",214,51.40,93,22.40,0,0,2,70,0,0,0,21,118,28.40,1,0,23,0,29,0,0,65,3,0.70,1,0,0,0,2,0
COLUMBIA,2020,COUNTY TOTAL,"4,185",153,36.60,60,14.30,0,0,0,45,0,0,0,15,91,21.70,0,0,31,0,18,0,0,42,2,0.50,2,0,0,0,0,0
COLUMBIA,2012,Columbia County Sheriffs Office,"4,100",262,63.90,39,9.51,1,0,4,33,0,1,0,0,221,53.90,0,0,47,0,54,0,0,120,2,0.49,1,0,0,0,1,0
COLUMBIA,2013,Columbia County Sheriffs Office,"4,100",295,71.95,46,11.22,0,0,2,39,0,0,0,5,249,60.73,1,0,51,0,31,0,0,166,0,0.00,0,0,0,0,0,0
COLUMBIA,2014,Columbia County Sheriffs Office,"4,080",127,31.13,0,0.00,0,0,0,0,0,0,0,0,127,31.13,0,0,38,0,0,0,0,89,0,0.00,0,0,0,0,0,0
COLUMBIA,2015,Columbia County Sheriffs Office,"4,090",83,20.29,2,0.49,0,0,0,2,0,0,0,0,80,19.56,1,0,28,0,0,0,0,51,1,0.24,1,0,0,0,0,0
COLUMBIA,2016,Columbia County Sheriffs Office,"4,050",211,52.10,25,6.17,0,0,5,16,0,0,0,4,183,45.19,1,0,20,0,46,0,0,116,3,0.74,3,0,0,0,0,0
COLUMBIA,2017,Columbia County Sheriffs Office,"4,100",179,43.66,80,19.51,0,0,3,69,0,0,0,8,96,23.41,1,0,21,1,21,0,1,51,3,0.73,0,0,0,0,3,0
COLUMBIA,2018,Columbia County Sheriffs Office,"4,150",142,34.22,51,12.29,0,0,1,43,0,0,0,7,87,20.96,0,0,25,1,17,0,0,44,4,0.96,2,0,0,0,2,0
COLUMBIA,2019,Columbia County Sheriffs Office,"4,160",214,51.44,93,22.36,0,0,2,70,0,0,0,21,118,28.37,1,0,23,0,29,0,0,65,3,0.72,1,0,0,0,2,0
COLUMBIA,2020,Columbia County Sheriffs Office,"4,185",153,36.56,60,14.34,0,0,0,45,0,0,0,15,91,21.74,0,0,31,0,18,0,0,42,2,0.48,2,0,0,0,0,0
COWLITZ,2012,COUNTY TOTAL,"103,135","8,367",81.10,"1,905",18.50,4,0,114,"1,512",4,13,0,258,"5,611",54.40,51,0,853,106,"1,152",3,66,"3,380",851,8.30,739,0,8,4,100,0
COWLITZ,2013,COUNTY TOTAL,"103,385","8,876",85.90,"1,927",18.60,1,0,119,"1,507",3,15,0,282,"6,059",58.60,21,1,898,105,"1,355",5,61,"3,613",890,8.60,711,0,10,5,164,0
COWLITZ,2014,COUNTY TOTAL,"103,795","7,914",76.20,"1,702",16.40,0,0,93,"1,334",0,11,0,264,"5,350",51.50,22,0,811,63,"1,004",3,34,"3,413",862,8.30,751,0,5,4,102,0
COWLITZ,2015,COUNTY TOTAL,"104,365","7,457",71.50,"1,773",17.00,2,0,102,"1,329",4,21,0,315,"4,841",46.40,29,0,647,91,944,1,54,"3,075",843,8.10,719,0,17,2,105,0
COWLITZ,2016,COUNTY TOTAL,"104,935","7,616",72.60,"1,670",15.90,2,0,101,"1,299",0,16,0,252,"5,005",47.70,33,0,719,84,889,3,58,"3,219",941,9.00,799,0,8,21,113,0
COWLITZ,2017,COUNTY TOTAL,"105,985","6,538",61.70,"1,642",15.50,2,1,120,"1,253",2,13,0,251,"4,029",38.00,23,0,552,140,720,2,30,"2,562",867,8.20,758,0,7,8,94,0
COWLITZ,2018,COUNTY TOTAL,"107,408","6,926",64.50,"1,802",16.80,2,0,116,"1,469",2,9,0,204,"4,063",37.80,26,0,495,90,719,4,39,"2,690","1,061",9.90,918,0,12,0,131,0
COWLITZ,2019,COUNTY TOTAL,"109,045","6,085",55.80,"1,700",15.60,5,0,105,"1,343",1,10,0,236,"3,442",31.60,19,1,360,100,665,6,30,"2,261",943,8.60,848,0,5,6,84,0
COWLITZ,2020,COUNTY TOTAL,"110,600","5,951",53.80,"1,567",14.20,2,0,104,"1,159",1,9,1,291,"3,626",32.80,18,0,436,78,697,7,26,"2,364",758,6.90,634,0,9,3,112,0
COWLITZ,2012,Castle Rock Police Department,"2,135",150,70.26,34,15.93,0,0,1,28,0,0,0,5,100,46.84,1,0,11,0,21,0,1,66,16,7.49,14,0,0,0,2,0
