COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,PRSNTOTAL,PRSNRATE,MURDER,MANSLAUGHTER,FORCIBLE_SEX,ASSAULT,NON_FORCIBLE_SEX,KIDNAPPING_ABDUCTION,HUMAN_TRAFFICKING,VIOL_OF_NO_CONTACT,PRPRTYTOTAL,PRPRTYRATE,ARSON,BRIBERY,BURGLARY,COUNTERFEITING_FORGERY,DESTRUCTION_OF_PROPERTY,EXTORTION_BLACKMAIL,ROBBERY,THEFT,SCTYTOTAL,SCTYRATE,DRUG_VIOLATIONS,GAMBLING_VIOLATIONS,PORNOGRAPHY,PROSTITUTION,WEAPON_LAW_VIOLATION,ANIMAL_CRUELTY
SNOHOMISH,2016,Sultan Police Department,"4,860",247,50.82,89,18.31,0,0,5,73,1,1,0,9,133,27.37,0,0,25,4,33,0,1,70,25,5.14,19,0,0,0,6,0
SNOHOMISH,2017,Sultan Police Department,"5,030",242,48.11,79,15.71,0,0,4,66,0,2,0,7,123,24.45,0,0,16,4,20,0,1,82,40,7.95,35,0,1,0,4,0
SNOHOMISH,2018,Sultan Police Department,"5,050",234,46.34,81,16.04,0,0,2,59,1,0,0,19,114,22.57,1,0,20,1,33,0,3,56,39,7.72,35,0,1,0,3,0
SNOHOMISH,2019,Sultan Police Department,"5,180",236,45.56,54,10.42,0,0,3,43,0,3,0,5,122,23.55,0,0,9,3,12,0,2,96,60,11.58,58,0,0,0,2,0
SNOHOMISH,2020,Sultan Police Department,"5,530",247,44.67,61,11.03,0,0,0,47,0,0,0,14,168,30.38,1,0,28,1,38,0,0,100,18,3.25,15,0,0,0,3,0
SNOHOMISH,2012,Woodway Police Department,"1,310",27,20.61,5,3.82,0,0,0,3,0,0,0,2,19,14.50,0,0,3,0,3,0,0,13,3,2.29,3,0,0,0,0,0
SNOHOMISH,2013,Woodway Police Department,"1,300",36,27.69,2,1.54,0,0,1,1,0,0,0,0,34,26.15,0,0,6,1,2,0,0,25,0,0.00,0,0,0,0,0,0
SNOHOMISH,2014,Woodway Police Department,"1,310",41,31.30,2,1.53,0,0,0,1,0,0,0,1,39,29.77,0,0,13,0,1,0,0,25,0,0.00,0,0,0,0,0,0
SNOHOMISH,2015,Woodway Police Department,"1,335",37,27.72,6,4.49,0,0,2,3,0,0,0,1,31,23.22,0,0,9,0,3,1,0,18,0,0.00,0,0,0,0,0,0
SNOHOMISH,2016,Woodway Police Department,"1,335",25,18.73,0,0.00,0,0,0,0,0,0,0,0,24,17.98,0,0,4,0,9,0,0,11,1,0.75,1,0,0,0,0,0
SNOHOMISH,2017,Woodway Police Department,"1,340",30,22.39,2,1.49,0,0,0,2,0,0,0,0,28,20.90,0,0,3,1,9,0,0,15,0,0.00,0,0,0,0,0,0
SNOHOMISH,2018,Woodway Police Department,"1,340",31,23.13,3,2.24,0,0,0,3,0,0,0,0,25,18.66,0,0,5,1,5,1,0,13,3,2.24,3,0,0,0,0,0
SNOHOMISH,2019,Woodway Police Department,"1,350",38,28.15,1,0.74,0,0,0,1,0,0,0,0,37,27.41,0,0,7,0,11,0,0,19,0,0.00,0,0,0,0,0,0
SNOHOMISH,2020,Woodway Police Department,"1,360",37,27.21,1,0.74,0,0,0,1,0,0,0,0,35,25.74,0,0,5,1,7,0,1,21,1,0.74,1,0,0,0,0,0
SPOKANE,2012,Airway Heights Police Department,"7,780",543,69.79,119,15.30,0,0,1,93,0,0,0,25,408,52.44,1,0,69,3,41,1,9,284,16,2.06,15,0,0,0,1,0
SPOKANE,2013,Airway Heights Police Department,"7,935",594,74.86,130,16.38,0,0,0,99,0,0,0,31,436,54.95,0,0,72,5,61,0,6,292,28,3.53,23,0,0,5,0,0
SPOKANE,2014,Airway Heights Police Department,"7,970",585,73.40,120,15.06,0,0,1,100,0,0,0,19,420,52.70,0,0,55,1,63,0,5,296,45,5.65,35,0,0,10,0,0
SPOKANE,2015,Airway Heights Police Department,"8,385",595,70.96,110,13.12,0,0,0,88,0,0,0,22,442,52.71,0,1,65,2,54,1,6,313,43,5.13,43,0,0,0,0,0
SPOKANE,2016,Airway Heights Police Department,"8,425",455,54.01,73,8.66,0,0,1,56,0,0,0,16,366,43.44,0,0,37,4,46,0,1,278,16,1.90,16,0,0,0,0,0
SPOKANE,2017,Airway Heights Police Department,"8,460",532,62.88,120,14.18,1,0,6,82,0,3,0,28,386,45.63,0,0,32,5,69,0,2,278,26,3.07,25,0,0,0,1,0
SPOKANE,2018,Airway Heights Police Department,"9,085","1,050",115.58,196,21.57,0,0,14,141,0,3,0,38,785,86.41,2,0,73,21,130,1,4,554,69,7.59,64,0,0,0,5,0
SPOKANE,2019,Airway Heights Police Department,"9,545","1,033",108.22,204,21.37,0,0,11,136,0,9,0,48,737,77.21,2,0,66,31,110,1,5,522,92,9.64,79,0,1,3,7,2
SPOKANE,2020,Airway Heights Police Department,"10,010",777,77.62,138,13.79,1,0,6,90,0,2,0,39,589,58.84,0,0,71,10,85,1,7,415,50,5.00,41,0,0,2,6,1
SPOKANE,2012,COUNTY TOTAL,"26,500","1,663",62.80,392,14.80,0,0,13,339,0,0,0,40,"1,169",44.10,2,0,182,16,190,2,18,759,102,3.80,95,0,1,0,6,0
SPOKANE,2013,COUNTY TOTAL,"27,195","1,591",58.50,392,14.40,1,0,8,342,0,1,0,40,"1,116",41.00,1,0,171,14,221,0,13,696,83,3.10,73,0,1,5,4,0
SPOKANE,2014,COUNTY TOTAL,"27,955","1,633",58.40,436,15.60,0,0,19,369,0,3,0,45,"1,108",39.60,1,0,144,5,220,0,12,726,89,3.20,72,0,0,10,7,0
SPOKANE,2015,COUNTY TOTAL,"28,800","1,732",60.10,431,15.00,0,0,29,355,1,2,0,44,"1,167",40.50,1,1,165,15,219,2,12,752,134,4.70,126,0,2,0,6,0
